crop,model,scenario,lag_config,feature_group,full_mae,ablated_mae,delta_mae,n
Кукурудза,xgboost,lag_only,L1,yield_history,0.5866868527730306,1.0935765139261882,0.5068896611531576,3
Кукурудза,xgboost,lag_only,L1,area,0.5866868527730306,0.4625519307454429,-0.12413492202758769,3
Кукурудза,xgboost,lag_only,L1,fertiliser_n,0.5866868527730306,0.6436014366149904,0.0569145838419598,3
Кукурудза,xgboost,lag_only,L1,fertiliser_p,0.5866868527730306,0.48954139073689795,-0.09714546203613261,3
Кукурудза,xgboost,lag_only,L1,fertiliser_k,0.5866868527730306,0.5649217160542808,-0.0217651367187498,3
Кукурудза,xgboost,lag_only,L1,mineral_share,0.5866868527730306,0.85993034362793,0.2732434908548994,3
Кукурудза,xgboost,lag_only,L1,organics,0.5866868527730306,0.5750751686096193,-0.011611684163411296,3
Кукурудза,xgboost,lag_only,L1,irrigation,0.5866868527730306,0.8021458180745444,0.21545896530151387,3
Пшениця,elasticnet,lag_only,L1,yield_history,0.8954365647475667,1.0030637449249225,0.10762718017735573,3
Пшениця,elasticnet,lag_only,L1,area,0.8954365647475667,0.8835160257852633,-0.011920538962303384,3
Пшениця,elasticnet,lag_only,L1,fertiliser_n,0.8954365647475667,0.8722337510401657,-0.02320281370740107,3
Пшениця,elasticnet,lag_only,L1,fertiliser_p,0.8954365647475667,0.9366331303414362,0.04119656559386953,3
Пшениця,elasticnet,lag_only,L1,fertiliser_k,0.8954365647475667,0.8533307500764996,-0.04210581467106711,3
Пшениця,elasticnet,lag_only,L1,mineral_share,0.8954365647475667,0.8791437505797767,-0.01629281416779005,3
Пшениця,elasticnet,lag_only,L1,organics,0.8954365647475667,0.8611159107428961,-0.03432065400467066,3
Пшениця,elasticnet,lag_only,L1,irrigation,0.8954365647475667,0.9710793759497944,0.07564281120222771,3
Соняшник,lightgbm,lag_only,L1,yield_history,0.3997118494328034,0.38949095426784197,-0.010220895164961441,3
Соняшник,lightgbm,lag_only,L1,area,0.3997118494328034,0.2131225852468949,-0.18658926418590852,3
Соняшник,lightgbm,lag_only,L1,fertiliser_n,0.3997118494328034,0.4008590633092394,0.0011472138764360151,3
Соняшник,lightgbm,lag_only,L1,fertiliser_p,0.3997118494328034,0.4052722364041208,0.005560386971317388,3
Соняшник,lightgbm,lag_only,L1,fertiliser_k,0.3997118494328034,0.4858040724228408,0.08609222299003738,3
Соняшник,lightgbm,lag_only,L1,mineral_share,0.3997118494328034,0.38531024683673376,-0.014401602596069651,3
Соняшник,lightgbm,lag_only,L1,organics,0.3997118494328034,0.3840752386145039,-0.015636610818299534,3
Соняшник,lightgbm,lag_only,L1,irrigation,0.3997118494328034,0.44806612686220104,0.04835427742939763,3
