baseline,crop,mae,rmse,mape
arima,Кукурудза,1.060912697008676,1.060912697008676,18.97252571918614
arima,Пшениця,0.8011075798675161,0.8011075798675161,15.223019171937613
arima,Соняшник,0.4557452527632013,0.4557452527632013,18.226476499614126
forecast_linear,Кукурудза,1.4668892218892289,1.4668892218892289,26.449660187437903
forecast_linear,Пшениця,0.7240975690975736,0.7240975690975736,16.67940592852076
forecast_linear,Соняшник,0.6277172827172751,0.6277172827172751,25.73897541201265
linest_lag_only,Кукурудза,7.417798631016914,7.417798631016914,132.94405129681576
linest_lag_only,Пшениця,3.8191616245193836,3.8191616245193836,71.3138424299288
linest_lag_only,Соняшник,0.9291533430654321,0.9291533430654321,33.90742165358349
naive_lag1,Кукурудза,2.6633333333333336,2.6633333333333336,44.086396436192274
naive_lag1,Пшениця,1.193333333333334,1.193333333333334,24.673209661888748
naive_lag1,Соняшник,0.73,0.73,27.643976430890337
