variable,category,unit,timing,mean,min,max,coefficient_of_variation
climate_apr_sep_hot_days_gt30,climate,days,Apr-Sep current season,39.6,21.0,57.0,0.27037896594594285
climate_apr_sep_prectotcorr_total,climate,mm,Apr-Sep current season,301.4320000000001,153.62,435.17,0.2478944190604648
climate_apr_sep_t2m_max_mean,climate,C,Apr-Sep current season,24.29261930783242,22.79502732240437,26.228688524590165,0.04149490336644533
climate_apr_sep_t2m_mean,climate,C,Apr-Sep current season,18.41464845173042,17.18327868852459,20.216120218579235,0.04488060882888064
Area_ha_lag1,crop_area,ha,t-1,372192.85714285716,205500.0,666000.0,0.3830837674680689
Area_ha_lag2,crop_area,ha,t-2,372402.5641025641,205500.0,666000.0,0.3899612257899798
Area_ha_lag3,crop_area,ha,t-3,369922.22222222225,205500.0,666000.0,0.4008281696928198
Yield_t_ha_lag1,crop_history,t/ha,t-1,4.450952380952381,1.97,8.22,0.4137985249248881
Yield_t_ha_lag2,crop_history,t/ha,t-2,4.3971794871794865,1.97,8.22,0.41081627022231115
Yield_t_ha_lag3,crop_history,t/ha,t-3,4.369722222222222,1.97,8.22,0.4117939195103477
ma5_Yield,crop_history,t/ha,historical_5y_mean,4.5207999999999995,2.4,7.056,0.36759116393109625
K_kg_ha_lag1,fertiliser,kg/ha,t-1,11.7,3.8,25.7,0.3615043507935425
K_kg_ha_lag2,fertiliser,kg/ha,t-2,12.164102564102565,5.9,25.7,0.330006808328673
K_kg_ha_lag3,fertiliser,kg/ha,t-3,12.144444444444446,5.9,25.7,0.33438790287575465
Mineral_treated_share_lag1,fertiliser,share,t-1,0.6998121055690623,0.5889894419306184,0.7633043478260869,0.06329006486418917
Mineral_treated_share_lag2,fertiliser,share,t-2,0.7071357279345831,0.6168145331643431,0.7633043478260869,0.051556262464811785
Mineral_treated_share_lag3,fertiliser,share,t-3,0.7096738657957488,0.6168145331643431,0.7633043478260869,0.05000876218185765
N_kg_ha_lag1,fertiliser,kg/ha,t-1,66.02142857142859,27.8,104.9,0.32560261627383663
N_kg_ha_lag2,fertiliser,kg/ha,t-2,67.16666666666667,27.8,104.9,0.320156394946922
N_kg_ha_lag3,fertiliser,kg/ha,t-3,67.39722222222223,27.8,104.9,0.3271358429721388
Org_kg_ha_or_share_lag1,fertiliser,mixed,t-1,0.002636000486251698,0.0009267840593141798,0.008248232521602514,0.733434793863367
Org_kg_ha_or_share_lag2,fertiliser,mixed,t-2,0.0027071324104730554,0.0009267840593141798,0.008248232521602514,0.731618847585509
Org_kg_ha_or_share_lag3,fertiliser,mixed,t-3,0.0028009303330810194,0.0009267840593141798,0.008248232521602514,0.722159827060653
P2O5_kg_ha_lag1,fertiliser,kg/ha,t-1,13.952380952380954,4.3,23.7,0.3186848988654434
P2O5_kg_ha_lag2,fertiliser,kg/ha,t-2,14.523076923076923,8.6,23.7,0.2799437611525144
P2O5_kg_ha_lag3,fertiliser,kg/ha,t-3,14.661111111111113,8.6,23.7,0.284336205141544
ma5_K,fertiliser,kg/ha,historical_5y_mean,12.572666666666665,7.959999999999999,18.94,0.22568192659587247
ma5_MineralShare,fertiliser,share,historical_5y_mean,0.7089365575427224,0.652819407394062,0.7427213940110861,0.0352173906074133
ma5_N,fertiliser,kg/ha,historical_5y_mean,68.28,31.439999999999998,93.34,0.2918323117384601
ma5_Org,fertiliser,mixed,historical_5y_mean,0.0026767472158269142,0.0010506049587885925,0.006645703692177747,0.6448920929307869
ma5_P2O5,fertiliser,kg/ha,historical_5y_mean,14.995333333333337,10.360000000000001,21.78,0.20974696990628977
Area_ha,other,,derived,371637.77777777775,205500.0,666000.0,0.37495315954639385
Irrig_m3_ha,other,,derived,3.918453440287203,0.5814629608093964,7.432588153952524,0.46915355380134593
Irrig_mm,other,,derived,0.3918453440287203,0.058146296080939644,0.7432588153952524,0.46915355380134605
K_kg_ha,other,,derived,11.397777777777778,3.8,25.7,0.3721949093098662
Mineral_treated_share,other,,derived,0.6926235036156608,0.5622222222222222,0.7633043478260869,0.07399201361910217
N_kg_ha,other,,derived,65.54222222222224,27.8,104.9,0.32369390449691304
Org_kg_ha_or_share,other,,derived,0.002621382729634721,0.0009267840593141798,0.008248232521602514,0.7205274074111164
P2O5_kg_ha,other,,derived,13.6,4.3,23.7,0.33083696130190104
Irrig_m3_ha_lag1,water_management,m3/ha,t-1,3.527994027657723,0.5814629608093964,6.030670265923841,0.42332195919193083
Irrig_m3_ha_lag2,water_management,m3/ha,t-2,3.4864512207323615,0.5814629608093964,6.030670265923841,0.4529424316729631
Irrig_m3_ha_lag3,water_management,m3/ha,t-3,3.5140206705603836,0.5814629608093964,6.030670265923841,0.47990411603136035
Irrig_mm_lag1,water_management,mm,t-1,0.3527994027657723,0.058146296080939644,0.6030670265923841,0.4233219591919308
Irrig_mm_lag2,water_management,mm,t-2,0.3486451220732361,0.058146296080939644,0.6030670265923841,0.45294243167296316
Irrig_mm_lag3,water_management,mm,t-3,0.3514020670560384,0.058146296080939644,0.6030670265923841,0.4799041160313604
ma5_Irrig_m3,water_management,m3/ha,historical_5y_mean,3.903042952529259,2.787515372896487,4.454417993517284,0.16297620086774092
ma5_Irrig_mm,water_management,mm,historical_5y_mean,0.39030429525292587,0.2787515372896487,0.4454417993517284,0.16297620086774095
